"Tournament.ID","Best.of","Court","Location","Tier","Surface","Tournament","Type","AvgPts","AvgRank","NumRounds","MinPoints","MinRank"
104,3,"Outdoor","San Jose","Premier","Hard","Mubadala Silicon Valley Classic","WTA",1416,85,5,18,674
105,3,"Outdoor","Washington","International","Hard","Citi Open","WTA",886,95,5,174,292
106,3,"Outdoor","Toronto","Premier","Hard","Rogers Cup","WTA",2169,44,6,219,260
107,3,"Outdoor","Cincinnati","Premier","Hard","Western & Southern Financial Group Women's Open","WTA",2207,41,6,411,153
108,3,"Outdoor","New York","International","Hard","Bronx Open","WTA",989,75,5,79,466
109,3,"Outdoor","New York","Grand Slam","Hard","US Open","WTA",1797,63,7,1,469
110,3,"Outdoor","Hiroshima","International","Hard","Japan Women's Tennis Open","WTA",632,119,5,178,300
111,3,"Outdoor","Nanchang","International","Hard","Jiangxi Women's Tennis Open","WTA",590,147,5,71,496
112,3,"Outdoor","Zhengzhou","International","Hard","Zhengzhou Open","WTA",1831,69,5,40,638
113,3,"Outdoor","Guangzhou","International","Hard","Guangzhou Open","WTA",1084,87,5,158,329
114,3,"Outdoor","Osaka","Premier","Hard","Toray Pan Pacific Open Tennis Tournament","WTA",1719,55,5,344,181
115,3,"Outdoor","Seoul","International","Hard","Korea Open","WTA",801,95,5,32,710
116,3,"Outdoor","Tashkent","International","Hard","Tashkent Open","WTA",608,125,5,59,552
117,3,"Outdoor","Wuhan","Premier","Hard","Wuhan Open","WTA",2155,36,6,468,136
118,3,"Outdoor","Beijing","Premier","Hard","China Open","WTA",2507,33,6,379,162
119,3,"Indoor","Linz","International","Hard","Generali Ladies Linz","WTA",1210,69,5,250,241
120,3,"Outdoor","Tianjin","International","Hard","Tianjin Open","WTA",957,86,5,41,363
121,3,"Indoor","Luxembourg","International","Hard","BGL BNP Paribas Luxembourg Open","WTA",882,94,5,113,389
122,3,"Indoor","Moscow","Premier","Hard","Kremlin Cup","WTA",1565,53,5,389,155
123,3,"Indoor","Zhuhai","Tour Championships","Hard","WTA Elite Trophy","WTA",2329,19,3,1355,40
124,3,"Indoor","Shenzhen","Tour Championships","Hard","WTA Finals","WTA",4795,5,3,2615,12
