tournamentGroup,year,title,startDate,endDate,surface,inOutdoor,city,country,singlesDrawSize,doublesDrawSize,prizeMoney,prizeMoneyCurrency,liveScoringId
"{'id': 1017, 'name': 'CINCINNATI', 'level': 'Premier 5', 'metadata': None}",2020,"Western & Southern Open - Cincinnati, OH, USA",17/08/2020,23/08/2020,Hard,O,CINCINNATI,"UNITED STATES, OH",64,32,0,USD,1017
"{'id': 2013, 'name': 'ALBANY', 'level': 'International', 'metadata': None}",2020,"Albany Open - Albany, NY, USA",23/08/2020,29/08/2020,Hard,O,"ALBANY, US",UNITED STATES,32,16,251750,USD,2013
"{'id': 905, 'name': 'US OPEN', 'level': 'Grand Slam', 'metadata': None}",2020,"2020 US OPEN TENNIS CHAMPIONSHIPS - Flushing Meadows, NY, USA",31/08/2020,12/09/2020,Hard,O,FLUSHING MEADOWS,"NEW YORK, USA",128,64,0,USD,905
"{'id': 2016, 'name': 'WARSAW', 'level': '125K', 'metadata': None}",2020,"BNP Paribas Warsaw Open - Warsaw, Poland",07/09/2020,13/09/2020,Clay,O,WARSAW,POLAND,32,16,115000,USD,2016
"{'id': 1077, 'name': 'NANCHANG', 'level': 'International', 'metadata': None}",2020,"Jiangxi Open - Nanchang, China",14/09/2020,20/09/2020,Hard,O,NANCHANG,CHINA,32,16,251750,USD,1077
"{'id': 2008, 'name': 'ZHENGZHOU', 'level': 'Premier', 'metadata': None}",2020,"Zhengzhou Open - Zhengzhou, China",14/09/2020,20/09/2020,Hard,O,ZHENGZHOU,CHINA,32,16,0,USD,2008
"{'id': 405, 'name': 'HIROSHIMA', 'level': 'International', 'metadata': None}",2020,"Hana-cupid Japan Women's Open - Hiroshima, Japan",14/09/2020,20/09/2020,Hard,O,HIROSHIMA,JAPAN,32,16,251750,USD,405
"{'id': 1056, 'name': 'TOKYO', 'level': 'Premier', 'metadata': None}",2020,"Toray Pan Pacific Open - Tokyo, Japan",21/09/2020,27/09/2020,Hard,I,TOKYO,JAPAN,32,16,0,USD,1056
"{'id': 1023, 'name': 'GUANGZHOU', 'level': 'International', 'metadata': None}",2020,"Guangzhou Open - Guangzhou, China",21/09/2020,26/09/2020,Hard,O,GUANGZHOU,CHINA,32,16,451750,USD,1023
"{'id': 1024, 'name': 'SEOUL', 'level': 'International', 'metadata': None}",2020,"KEB Hana Bank Korea Open 2020 - Seoul, Korea",21/09/2020,27/09/2020,Hard,O,SEOUL,KOREA,32,16,251750,USD,1024
"{'id': 1075, 'name': 'WUHAN', 'level': 'Premier 5', 'metadata': None}",2020,"2020 Dongfeng Motor Wuhan Open - Wuhan, China",27/09/2020,03/10/2020,Hard,O,WUHAN,CHINA,64,32,0,USD,1075
"{'id': 2021, 'name': 'TASHKENT', 'level': '125K', 'metadata': None}",2020,"Tashkent Open - Tashkent, Uzbekistan",28/09/2020,03/10/2020,Hard,O,TASHKENT,UZBEKISTAN,32,16,115000,USD,2021
"{'id': 1020, 'name': 'BEIJING', 'level': 'Premier Mandatory', 'metadata': None}",2020,"China Open - Beijing, China",03/10/2020,11/10/2020,Hard,O,BEIJING,CHINA,64,32,0,USD,1020
"{'id': 1059, 'name': 'TAIPEI', 'level': '125K', 'metadata': None}",2020,"TAIPEI OEC Open - Taipei, Chinese Taipei",05/10/2020,11/10/2020,Hard,I,TAIPEI,CHINESE TAIPEI,32,16,150000,USD,1059
"{'id': 528, 'name': 'LINZ', 'level': 'International', 'metadata': None}",2020,"Upper Austria Ladies Linz - Linz, Austria",12/10/2020,18/10/2020,Hard,I,LINZ,AUSTRIA,32,16,251750,USD,528
"{'id': 1074, 'name': 'HONG KONG', 'level': 'International', 'metadata': None}",2020,"Prudential Hong Kong Tennis Open - Hong Kong, China",12/10/2020,18/10/2020,Hard,O,HONG KONG,CHINA,32,16,451750,USD,1074
"{'id': 1076, 'name': 'TIANJIN', 'level': 'International', 'metadata': None}",2020,"Tianjin Open - Tianjin, China",12/10/2020,18/10/2020,Hard,O,TIANJIN,CHINA,32,16,251750,USD,1076
"{'id': 730, 'name': 'MOSCOW', 'level': 'Premier', 'metadata': None}",2020,"VTB Kremlin Cup - Moscow, Russia",19/10/2020,25/10/2020,Hard,I,MOSCOW,RUSSIA,32,16,0,USD,730
"{'id': 300, 'name': 'LUXEMBOURG', 'level': 'International', 'metadata': None}",2020,"BGL BNP Paribas Luxembourg Open - Luxembourg, Luxembourg",19/10/2020,25/10/2020,Hard,I,LUXEMBOURG,LUXEMBOURG,32,16,251750,USD,300
"{'id': 1081, 'name': 'ZHUHAI', 'level': 'Finals', 'metadata': None}",2020,"Hengqin Life WTA Elite Trophy Zhuhai 2020 - Zhuhai, P.R. China",27/10/2020,01/11/2020,Hard,O,ZHUHAI,CHINA,12,6,2600000,USD,1081
"{'id': 808, 'name': 'WTA FINALS', 'level': 'Finals', 'metadata': None}",2020,"Shiseido WTA Finals Shenzhen - Shenzhen, China",01/11/2020,08/11/2020,Hard,I,SHENZHEN,CHINA,8,8,14000000,USD,808
"{'id': 2001, 'name': 'HOUSTON', 'level': '125K', 'metadata': None}",2020,"Oracle Challenger Series - Houston, TX, USA",15/11/2020,22/11/2020,Hard,O,HOUSTON,"USA, TX",64,16,162480,USD,2001
"{'id': 1072, 'name': 'LIMOGES', 'level': '125K', 'metadata': None}",2020,"Open BLS De LIMOGES - Limoges, France",14/12/2020,20/12/2020,Hard,I,LIMOGES,FRANCE,32,8,115000,USD,1072
