"Tournament","startDate","endDate","prizeMoney","prizeMoneyCurrency","Type"
"Nature Valley International ",2020-06-21,2020-06-27,0,"USD","WTA"
"The Championships ",2020-06-29,2020-07-11,0,"USD","WTA"
"Nordea Open ",2020-07-06,2020-07-11,115000,"USD","WTA"
"BRD Bucharest Open ",2020-07-13,2020-07-19,251750,"USD","WTA"
"Ladies Open Lausanne ",2020-07-13,2020-07-19,251750,"USD","WTA"
"30^ Palermo Ladies Open ",2020-07-20,2020-07-26,251750,"USD","WTA"
"Baltic Open ",2020-07-20,2020-07-26,251750,"USD","WTA"
"Oracle Challenger Series ",2020-07-27,2020-08-02,162480,"USD","WTA"
"Liqui Moly Open Karlsruhe ",2020-07-28,2020-08-02,115000,"USD","WTA"
"Citi Open ",2020-08-03,2020-08-09,251750,"USD","WTA"
"Mubadala Silicon Valley Classic ",2020-08-03,2020-08-09,0,"USD","WTA"
"Rogers Cup presented by National Bank ",2020-08-10,2020-08-16,0,"USD","WTA"
"Western & Southern Open ",2020-08-17,2020-08-23,0,"USD","WTA"
"Albany Open ",2020-08-23,2020-08-29,251750,"USD","WTA"
"2020 US OPEN TENNIS CHAMPIONSHIPS ",2020-08-31,2020-09-12,0,"USD","WTA"
"BNP Paribas Warsaw Open ",2020-09-07,2020-09-13,115000,"USD","WTA"
"Jiangxi Open ",2020-09-14,2020-09-20,251750,"USD","WTA"
"Zhengzhou Open ",2020-09-14,2020-09-20,0,"USD","WTA"
"Hana",2020-09-14,2020-09-20,251750,"USD","WTA"
"Toray Pan Pacific Open ",2020-09-21,2020-09-27,0,"USD","WTA"
"Guangzhou Open ",2020-09-21,2020-09-26,451750,"USD","WTA"
"KEB Hana Bank Korea Open 2020 ",2020-09-21,2020-09-27,251750,"USD","WTA"
"2020 Dongfeng Motor Wuhan Open ",2020-09-27,2020-10-03,0,"USD","WTA"
"Tashkent Open ",2020-09-28,2020-10-03,115000,"USD","WTA"
"China Open ",2020-10-03,2020-10-11,0,"USD","WTA"
"TAIPEI OEC Open ",2020-10-05,2020-10-11,150000,"USD","WTA"
"Upper Austria Ladies Linz ",2020-10-12,2020-10-18,251750,"USD","WTA"
"Prudential Hong Kong Tennis Open ",2020-10-12,2020-10-18,451750,"USD","WTA"
"Tianjin Open ",2020-10-12,2020-10-18,251750,"USD","WTA"
"VTB Kremlin Cup ",2020-10-19,2020-10-25,0,"USD","WTA"
"BGL BNP Paribas Luxembourg Open ",2020-10-19,2020-10-25,251750,"USD","WTA"
"Hengqin Life WTA Elite Trophy Zhuhai 2020 ",2020-10-27,2020-11-01,2600000,"USD","WTA"
"Shiseido WTA Finals Shenzhen ",2020-11-01,2020-11-08,14000000,"USD","WTA"
"Oracle Challenger Series ",2020-11-15,2020-11-22,162480,"USD","WTA"
"Open BLS De LIMOGES ",2020-12-14,2020-12-20,115000,"USD","WTA"
